text,uri,target
"**Question:**Rate your impression of the credibility of this article

**Answer:**Medium credibility

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Title Representativeness

**Question:**Question: Does the title of the article accurately reflect the content of the article?

**Answer:**Somewhat Representative

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Clickbait Title

**Question:**Is the headline clickbaity?

**Answer:**A little bit clickbaity

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Clickbait Title

**Question:**What clickbait techniques does this headline employ (select all that apply)?

**Answer:**Defying convention (“Think Orange Juice is Good for you? Think Again!”, “Here are 5 Foods You Never Thought Would Kill You”)

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Single Study Article

**Question:**Is this article primarily about a single scientific study?

**Answer:**No

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**Question:**Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.

**Answer:**Organizations

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Citation of Organizations

**Question:**Highlight each organization cited:

**Answer:**Cited Organization 1

**Highlight**:

American Heart Association

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/"",""selector"":[{""exact"":""American Heart Association"",""prefix"":""-Pierre St-Onge’s title.\n\nThe "",""type"":""TextQuoteSelector"",""suffix"":"" recently released a report ad""}]}]"
"**CredCo Indicator:**Confidence - Extent Claims Justified

**Question:**To what extent does their confidence in their claims seem justified?

**Answer:**Somewhat justified

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Confidence - Acknowledge Uncertainty

**Question:**Do they acknowledge uncertainty or the possibility that things might be otherwise? If so, highlight the relevant section(s).

**Answer:**No

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Logical Fallacies - Straw Man

**Question:**Does the author present the counterargument as a weaker, more foolish version of the real counterargument (use a Straw Man Argument)? If so, highlight the relevant section(s).

**Answer:**No

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Logical Fallacies - False Dilemma

**Question:**Does the author present a complicated choice as if it were binary (construct a false dilemma)? If so, highlight the relevant section(s).

**Answer:**No

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Logical Fallacies - Slippery Slope

**Question:**Does the author say that one small change will lead to a major change (use a slippery slope argument)? Highlight the relevant section(s).

**Answer:**No

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Logical Fallacies - Appeal to Fear

**Question:**Does the author exaggerate the dangers of a situation and use scare tactics to persuade (the appeal to fear fallacy)?

**Answer:**No

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Logical Fallacies - Naturalistic

**Question:**Does the author suggest that something is good because it is natural, or bad because it is not natural (the naturalistic fallacy)?

**Answer:**No

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Tone - Emotionally Charged

**Question:**Does the article have an emotionally charged tone? (i.e, outrage, snark, celebration, horror, etc.). If so, highlight the relevant section(s).

**Answer:**No

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Tone - Exaggerated Claims

**Question:**Does the author exaggerate any claims? If so, highlight the relevant section(s).

**Answer:**No

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**CredCo Indicator:**Inference - Type of Claims

**Question:**Is a general or singular causal claim made? Highlight the section(s) that supports your answer.

**Answer:**General Causal Claim

**Highlight**:

The Dietary Fats and Cardiovascular Disease advisory reviewed existing data on saturated fat, showing coconut oil increased LDL (""bad"") cholesterol in seven out of seven controlled trials.

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/"",""selector"":[{""exact"":""The Dietary Fats and Cardiovascular Disease advisory reviewed existing data on saturated fat, showing coconut oil increased LDL (\""bad\"") cholesterol in seven out of seven controlled trials."",""prefix"":""nst the use of coconut oil. \n\n"",""type"":""TextQuoteSelector"",""suffix"":"" Researchers didn't see a diff""}]}]"
"**Question:**What evidence is given for the primary claim? Select all that apply.

**Answer:**Experts are cited

**Highlight**:

""Because coconut oil increases LDL cholesterol, a cause of CVD [cardiovascular disease], and has no known offsetting favorable effects, we advise against the use of coconut oil,"" the American Heart Association said in the Dietary Fats and Cardiovascular Disease advisory.

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/"",""selector"":[{""exact"":""\""Because coconut oil increases LDL cholesterol, a cause of CVD [cardiovascular disease], and has no known offsetting favorable effects, we advise against the use of coconut oil,\"" the American Heart Association said in the Dietary Fats and Cardiovascular Disease advisory."",""prefix"":""the oils you should be using\n\n"",""type"":""TextQuoteSelector"",""suffix"":"" \n\n\nFrank Sacks, lead author o""}]}]"
"**CredCo Indicator:**Inference - Convincing Evidence

**Question:**How convincing do you find the evidence given for the primary claim?

**Answer:**Slightly Convincing

**Annotator:**PE-2018-03

",https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,"[{""source"":""https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/""}]"
"**Question:**Rate your impression of the credibility of this article

**Answer:**Very low credibility

**Annotator:**PE-2018-03

",http://nowcheckthis.com/2017/03/23/confirmed-e-cigarettes-cause-a-horrible-incurable-disease-called-popcorn-lung-worse-than-lung-cancer/,"[{""source"":""http://nowcheckthis.com/2017/03/23/confirmed-e-cigarettes-cause-a-horrible-incurable-disease-called-popcorn-lung-worse-than-lung-cancer/""}]"
"**CredCo Indicator:**Title Representativeness

**Question:**Question: Does the title of the article accurately reflect the content of the article?

**Answer:**Completely Representative

**Annotator:**PE-2018-03

",http://nowcheckthis.com/2017/03/23/confirmed-e-cigarettes-cause-a-horrible-incurable-disease-called-popcorn-lung-worse-than-lung-cancer/,"[{""source"":""http://nowcheckthis.com/2017/03/23/confirmed-e-cigarettes-cause-a-horrible-incurable-disease-called-popcorn-lung-worse-than-lung-cancer/""}]"
