,Article 1,Article 2,Article 3,Article 4,Article 5,Article 6,Article 7,Article 8,Article 9,Article 10,Article 11,Article 12,Article 13,Article 14,Article 15,Article 16,Article 17,Article 18,Article 19,Article 20,Article 21,Article 22,Article 23,Article 24,Article 25,Article 26,Article 27,Article 28,Article 29,Article 30,Article 31,Article 32,Article 33,Article 34,Article 35,Article 36,Article 37,Article 38,Article 39,Article 40,Article 41,Article 42,Article 43,Article 44,Article 45,Article 46,Article 47,Article 48,Article 49,Article 50
Title,Johns Hopkins Researcher Releases Shocking Report On Flu Vaccines,"Floods in India, Bangladesh and Nepal kill 1,200 and leave millions homeless",Coconut oil isn't healthy. It's never been healthy.,How Your Finger Shape Determines Your Personality (And Your Health Risks) - Mystical Raven,"Drinking more coffee leads to a longer life, two studies say",Monsanto Is Scrambling To Bury This Breaking Story - Don't Let This Go Unshared!,CONFIRMED: E-CIGARETTES CAUSE A HORRIBLE INCURABLE DISEASE CALLED ‘POPCORN LUNG’. WORSE THAN LUNG CANCER!,Resorts in Mexico suspected of drugging tourists,"There are diseases hidden in ice, and they are waking up",NOW IT’S OFFICIAL: FDA Announced That Vaccines Are Causing Autism! - InShapeToday,Mom's warning is spreading like wildfire – scented candles are harmful to your baby’s health,Hand-Foot-And-Mouth Disease On The Rise: Experts Beg Parents To Know The Signs,"Lead Developer of HPV Vaccines Comes Clean, Warns Parents & Young Girls It’s All A Giant Deadly Scam",MISSION IMPOSSIBLE: Official story of Las Vegas shooting unravels; physical impossibility of lone gunman senior citizen makes narrative ludicrous,Health Experts Are Warning People To Stop Eating Tilapia,Stop holding your farts in. Here are 7 unexpected health benefits of passing gas,Tesla made more money last quarter than the entire US oil industry made last year,Putting Kids To Bed Early Improves Mom's Health - Simplemost,If Everyone Ate Beans Instead of Beef,WITH ONLY 2 CUPS A DAY FOR 1 WEEK YOUR STOMACH WILL BE FLATTER! - Public Health ABC,,Dancing can reverse the signs of aging in the brain,Six Pharmaceutical Drugs That Immediately Destroy Your Health,World Renowned Heart Surgeon Speaks Out On What Really Causes Heart Disease,Vaccinated vs. Unvaccinated: Mawson Homeschooled Study Reveals Who is Sicker,Houston’s flooding shows what happens when you ignore science and let developers run rampant,Psychologists believe Trump is showing signs of severe mental illness,"Nations Press: PLS SHARE: DO NOT EAT THIS FISH, IT IS VERY DANGEROUS FOR YOUR HEALTH!","Preventing Alzheimer's Disease, Dementia & Cognitive Decline With Diet","Under the GOP's health plan, sexual assault could be considered a pre-existing condition",The Best Exercise for Aging Muscles,Arctic stronghold of world’s seeds flooded after permafrost melts,"The oldest child is actually the smartest, study finds",DELINGPOLE: Global Warming Study Cancelled Because of 'Unprecedented' Ice,,,"Surgeon Gen.: Addiction Is A Chronic Brain Disease, Not Moral Failure",Stop Calling Your Drug Addiction a Disease,Five things that just don’t add up about the Las Vegas mass shooting,Dirt Is Good': Why Kids Need Exposure To Germs,Study Finds Stevia Kills Lyme Disease Pathogen Better Than Antibiotics,Diet drinks TRIPLE your risk of stroke and dementia,Arctic’s Winter Sea Ice Drops to Its Lowest Recorded Level,,An Iceberg the Size of Delaware Just Broke Away From Antarctica,"Stevia Kills Lyme Disease Pathogen Better Than Antibiotics, Study Confirms",Which Banana Would You Eat? Your Answer May Have An Effect On Your Health,Opinion | How the Anti-Vaxxers Are Winning,"The Amish, Who Don’t Get Vaccinated, Rarely Get Autism, Cancer, or Heart Disease – Coincidence?",Measles making comeback in Texas as parents opt out of vaccines
Content,"In 2015, a whole new slew of flu vaccines found themselves getting approved by the Federal Drug Administration. This isn't an uncommon practice; most flu vaccines pass inspection every year. It's well known advice that has been passed down from doctor to patient that the flu vaccine is something that we all should get, but it has been quickly surfacing that what's in the vaccines--especially those from 2015 and after--might actually be more damaging then simply rolling the dice on getting the flu. The ingredient that is getting the most flack is called an adjuvant. The particular one involved is called Squalene, and it has been linked to auto-immune disease side effects. In fact, it may have been used during chemical attacks in the Gulf War. Symptoms include chronic fatigue, muscle aches, and neurologic damage. While it may be a contested subject, it remains that we aren't really sure what's going into these vaccines we're being convinced should be used. A scientist who has been","At least 1,200 people have been killed and millions have been left homeless following devastating floods that have hit India, Bangladesh and Nepal, in one of the worst flooding disasters to have affected the region in years. International aid agencies said thousands of villages have been cut off by flooding with people being deprived of food and clean water for days.  South Asia suffers from frequent flooding during the monsoon season, which lasts from June to September, but authorities have said this year's floods have been much worse. ","“We advise against the use of coconut oil,"" the American Heart Association says in a new report.","Just look at the picture and then look at your fingers, are you type A, B or C? Find out what it says about your personality (and your health).","A higher consumption of coffee is linked to a longer life, two new studies say, with the benefits applicable across multiple races.","I am frankly shocked this information is not making front page news right now. Monsanto will do anything to bury this story… and as of right now, it’s working. Not a single mainstream media outlet has covered this appalling new report that shows millions of people being poisoned by a chemical that does not belong in our  … Read More",CONFIRMED: E-CIGARETTES CAUSE A HORRIBLE INCURABLE DISEASE CALLED ‘POPCORN LUNG’. WORSE THAN LUNG CANCER!,The scene at the swim-up bar at the Mexican resort where Abbey Conner was pulled listless from the pool in January was full of young tourists last month when an attorney hired by Conner's family showed up.,"Long-dormant bacteria and viruses, trapped in ice and permafrost for centuries, are reviving as Earth's climate warms","The FDA has published conclusive proof on their website that the DTap vaccine can cause autism. According to the FDA’s online Biologics Blood Vaccines document, a vaccine manufacturer admits on its package insert that their vaccination can cause autism as one of many adverse reactions. These adverse events reported during post-approval use of Tripedia vaccine...",Mom's warning is spreading like wildfire – scented candles are harmful to your baby’s health. Newsner give you the news that truly matters to you!,"Every parents worries about the infectious childhood illness that sweep through classrooms and after-school programs this time of year. Most kids get their inoculations early on to avoid old-fashioned diseases like mumps and rubella that used to effect huge swathes of children every year. Even better, there’s now an annual flu shot for tackling one...","Lead Developer of HPV Vaccines Comes Clean, Warns Parents & Young Girls It’s All A Giant Deadly Scam","It's all hogwash. The ""official"" narrative of how things went down in the Las Vegas massacre is so full of holes that it begs the question of just how deep the truth about this [...]","Eating seafood is a great way to get vital nutrients and vitamins. Tilapia is the most popular farmed fish in America because of its affordability. But health experts are warning consumers to stay as far away as possible from Tilapia. Flip over to the next page to see why… CONTINUE READING HERE Tilapia Contains Few Nutrients: Researchers from the Wake Forest University School of Medicine released a report on the omega-3 fatty acid content in popular fish. Tilapia scored far lower than most other fish on the list. Omega-3 fatty acids give fish most of their benefits, including Alzheimer's risk reduction. Tilapia contains a TON of omega-6 fatty acids, which are terrible for you. The quantity of omega-6 in tilapia is higher than a hamburger or bacon. Flip over to the next page to see another reason why Tilapia can kill you… CONTINUE READING HERE Tilapia Could Cause Alzheimer's: One of the omega-6 fatty acids in tilapia goes by the name of arachidonic acid – a compound which","We're often self-conscious when we fart. However, farting is actually healthy for you. Here's why!","While there are nuances to the claim made in this headline, it is technically true since Tesla announced that it turned a profit of $22 million last quarter while the US oil industry managed to los…","A new study confirms why all those bedtime battles are indeed worth it. When kids go to bed early, they are healthier and mom is happier.","With one dietary change, the U.S. could hypothetically get 74 percent of the way to meeting 2020 greenhouse-gas emission goals.","The desire of lots of people is to have a flat stomach. Sadly, you cannot just exercise your method to it. A lot involves exactly what you put into your mouth. Do you have excess fat in your abdomen location and want to get rid of it when and for all? Fortunately, today we will...",,"As we grow older we suffer a decline in mental and physical fitness, which can be made worse by conditions like Alzheimer's disease. A new study, published in the open-access journal Frontiers in Human ...","Some pharmaceutical medicines can cause you immediate physiological damage, keep reading to find out which ones! A new CDC report confirmed that half of all Americans take some pharmaceutical drug for their sicknesses. Over 150 million citizens in the U.S. are consuming medications that are tests or even unproven products. This is alarming since taking so much medication can cause many health-threatening problems in the human body. The number of Americans who take medication increased 10% since the early 1990s. It used to be illegal for pharmaceutical companies to push legal drugs onto people, but now with the rise in drug advertisements the number of people using them has snowballed. If you feel caught up in the pharmaceutical drug web, then you should ask yourself if taking a pill to mask symptoms based on bad lifestyle choices is the right way to go. Also, consuming pharmaceutical drugs will not cure your illness. Instead, many of them will likely cause more long-term harm, than","We physicians with all our training, knowledge and authority often acquire a rather large ego that tends to make it difficult to admit we are wrong. So, here it is. I…",The Mawson study is a groundbreaking study of vaccinated vs. unvaccinated American children that shows more chronic illness among vaccinated children.,The city's gung-ho approach to development has destroyed the area's natural ability to drain away hurricane floodwaters.,"Hillary Clinton claimed Trump was “temperamentally unfit” to be President, and in recent months many people the world over have reached the same conclusion. Clinton was, of course, Trump’s political opponent, but some psychologists have now started questioning his state of mind.",,"Preventing Alzheimer's naturally is as simple as changing your diet and a few lifestyle habits to reset your brain, free PDF included.",The bill would also mean insurers could consider having postpartum depression or surviving domestic abuse pre-existing conditions.,Certain kinds of exercise may mitigate the effects of aging at the cellular level.,No seeds were lost but the ability of the rock vault to provide failsafe protection against all disasters is now threatened by climate change,"Birth order doesn't affect personality, but it does set certain siblings up for more success, new research has found.","A global warming research study in Canada has been cancelled because of ""unprecedented"" thick summer ice. They blamed it on 'climate change.'",,,The way forward includes needle exchanges and calling addiction what it is: a medical condition.,"Despite the prevalence of drug addiction in our society and the growing epidemic it has become, drug addiction is no more a disease now than it was, to begin with. Yes, there I said it,","Our hearts and prayers go out to all those killed or injured in the Las Vegas shooting, and in a nation where so many anti-Americans are kneeling in pampered protest, this mass shooting saw [...]","Should I use antibacterial soaps? How often should I bathe my child? Those are just some of the questions Jack Gilbert, a microbiome scientist, answers in his new book.","Lyme disease is a very complicated disease to treat, both for the allopathic medical world and alternative medical practitioners, due to its rapid shape-shifting abilities. It also hides, and is exceedingly difficult to destroy. CDC studies reveal that “the number of people diagnosed with Lyme disease each year in the United States is around 300,000. […]","The Boston University study of almost 4,400 adults suggests diet drinks are more likely to cause strokes and dementia than those full of sugar.",Much of the ice also appears to be thinner than normal — further signs of climate change’s effects on the region.,,"A crack more than 120 miles long had developed over several years in a floating ice shelf called Larsen C, and scientists who have been monitoring it confirmed on Wednesday that the huge iceberg had finally separated.","A recent study published in the European Journal of Microbiology and Immunology revealed that stevia, a sweetener and sugar substitute, has been found to terminate late state or chronic Lyme disease.","When we eat bananas, we do so because we are hoping to gain a number of different health benefits. While some of us eat them because we truly enjoy the taste, others are merely trying",A major measles outbreak in America is only a matter of time.,"Do not talk about whether vaccines work or not, or whether or not they cause autism, unless you’re ready for a very heated debate. Although the link between vaccines and autism is nothing new, to even speak of it can get you labeled as an “anti-vaxxer” or a health fanatic of sorts by the sheeple (brainwashed masses) that believe every vaccine the CDC recommends not only works, but is 100% safe and 100% effective 100% of the time. Even if some vaccines work some of the time, are they worth the health risk? That is the ultimate question, because one",A Texas medical researcher is raising concerns about a potential large-scale comeback of the measles.
URL,https://ewao.com/2017/08/16/johns-hopkins-researcher-releases-shocking-report-on-flu-vaccines/,https://www.independent.co.uk/news/world/asia/india-floods-bangladesh-nepal-deaths-millions-homeless-latest-news-updates-a7919006.html,https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/,https://mysticalraven.com/health/5110/how-your-finger-shape-determines-your-personality-and-your-health-risks,https://www.cnn.com/2017/07/10/health/coffee-leads-to-longer-life-studies-reaffirm/index.html,https://foodbabe.com/2016/11/15/monsanto/,http://nowcheckthis.com/2017/03/23/confirmed-e-cigarettes-cause-a-horrible-incurable-disease-called-popcorn-lung-worse-than-lung-cancer/,http://www.wfaa.com/news/health/resorts-in-mexico-suspected-of-drugging-tourists/458170922,https://www.bbc.com/earth/story/20170504-there-are-diseases-hidden-in-ice-and-they-are-waking-up,http://inshapetoday.com/now-official-fda-announced-vaccines-causing-autism/,https://en.newsner.com/mom-s-warning-is-spreading-like-wildfire-scented-candles-are-harmful-your-baby-s-health/about/family,https://www.littlethings.com/hand-food-and-mouth-disease/,http://www.alternativenewsnetwork.net/lead-developer-hpv-vaccines-comes-clean-warns-parents-young-girls-giant-deadly-scam/,https://www.naturalnews.com/2017-10-02-lone-gunman-theory-of-las-vegas-shooter-is-complete-nonsense-stephen-paddock.html,https://www.androidmagazines.info/health-experts-are-warning-people-to-stop-eating-tilapia/,https://shareably.net/health-benefits-farting/,https://electrek.co/2016/11/10/tesla-made-more-money-last-quarter-than-the-entire-us-oil-industry-made-last-year,https://www.simplemost.com/new-study-says-putting-kids-to-bed-earlier-is-better-for-moms-sanity/,https://www.theatlantic.com/health/archive/2017/08/if-everyone-ate-beans-instead-of-beef/535536/,http://publichealthabc.com/2-cups-day-1-week-stomach-will-flatter/,https://www.ntd.tv/inspiring/life/9-sleeping-positions-improve-health.html,https://medicalxpress.com/news/2017-08-reverse-aging-brain.html,https://ewao.com/2017/09/16/six-pharmaceutical-medicines-that-instantly-make-your-health-worse/,https://dailyoccupation.com/2017/06/12/world-renowned-heart-surgeon-speaks-really-causes-heart-disease/,https://info.cmsri.org/the-driven-researcher-blog/vaccinated-vs.-unvaccinated-guess-who-is-sicker,https://qz.com/1064364/hurricane-harvey-houstons-flooding-made-worse-by-unchecked-urban-development-and-wetland-destruction,https://www.independent.co.uk/life-style/health-and-families/donald-trump-mental-illness-narcisissm-us-president-psychologists-inauguration-crowd-size-paranoia-a7552661.html,http://www.nationspressph.com/2017/02/pls-share-do-not-eat-this-fish-it-is.html,https://dailyhealthpost.com/preventing-alzheimers/,https://mic.com/articles/176092/under-the-gop-s-health-plan-sexual-assault-would-be-considered-a-preexisting-condition,https://www.nytimes.com/2017/03/23/well/move/the-best-exercise-for-aging-muscles.html,https://www.theguardian.com/environment/2017/may/19/arctic-stronghold-of-worlds-seeds-flooded-after-permafrost-melts,https://www.today.com/health/birth-order-first-borns-get-intellectual-advantage-t108042,http://www.breitbart.com/big-government/2017/06/13/delingpole-ship-of-fools-iii-global-warming-study-cancelled-because-of-unprecedented-ice/,https://www.ntd.tv/inspiring/parenting/sam-berns-boy-aging-disease-progeria-dies-17.html,http://www.iflscience.com/health-and-medicine/coconut-oil-bad/,https://www.huffingtonpost.com/entry/vivek-murthy-report-on-drugs-and-alcohol_us_582dce19e4b099512f812e9c,https://awarenessact.com/stop-calling-your-drug-addiction-a-disease/,https://www.naturalnews.com/2017-10-02-five-things-that-just-dont-add-up-about-the-las-vegas-mass-shooting.html,https://www.npr.org/sections/health-shots/2017/07/16/537075018/dirt-is-good-why-kids-need-exposure-to-germs,https://www.collective-evolution.com/2017/01/25/study-finds-stevia-kills-lyme-disease-pathogen-better-than-antibiotics/,http://www.dailymail.co.uk/~/article-4429790/index.html,https://www.nytimes.com/2017/03/22/climate/arctic-winter-sea-ice-record-low-global-warming.html,http://www.iflscience.com/environment/heavy-monsoon-causing-extreme-flooding-in-south-asia-has-killed-1200-people-so-far/,https://www.nytimes.com/interactive/2017/06/09/climate/antarctica-rift-update.html,https://www.healthspiritbody.com/lyme-disease-treatment/,http://goodfullness.net/which-banana-would-you-eat-your-answer-may-have-an-effect-on-your-health/,https://www.nytimes.com/2017/02/08/opinion/how-the-anti-vaxxers-are-winning.html,https://worldtruth.tv/the-amish-who-dont-get-vaccinated-rarely-get-autism-cancer-or-heart-disease-coincidence/,http://www.wate.com/news/national-world/measles-making-comeback-as-parents-opt-out-of-vaccines/792747092
Credibility Score,1,4,4,0,4,0,1,4,3,1,4,1,1,3,1,1,2,2,3,0,6,4,0,3,2,1,3,0,4,3,4,4,4,2,2,0,3,2,1,4,2,2,4,0,4,0,1,4,0,2
Originality Score,0,1,0,3,4,3,0,3,0,2,0,0,3,0,2,0,0,0,0,0,4,1,3,1,0,0,0,0,1,0,0,0,0,2,2,1,0,0,1,0,1,1,0,1,0,2,1,0,3,3
Attribution Rank,0,3,0,1,0,1,1,3,0,1,0,0,3,4,3,0,0,0,0,0,0,4,4,4,0,0,0,3,3,0,0,0,0,4,1,1,0,0,1,0,4,1,0,3,0,1,4,0,1,3
Fact-Checked,3,3,1,1,6,1,1,1,1,3,3,1,1,1,1,1,1,6,1,1,6,1,1,0,1,1,3,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,6,1,1,1,1,0,2,1
Source 1 Category,2,3,3,0,2,3,3,3,3,3,3,3,0,3,2,0,3,3,3,0,0,3,3,1,2,3,3,1,3,0,2,3,2,3,3,3,3,0,3,0,3,2,1,3,2,3,0,1,3,3
Source 1 Link Provided,2,2,2,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,1,1,2,1,1,0,2,2,2
Source 1 Impact Factor,yournewswire.com,http://www.straitstimes.com,http://circ.ahajournals.org/,No additional sources,http://annals.org/,http://www.simplypureinc.com/,Harvard School of Public Health,https://www.jsonline.com/,BBC,https://dailymed.nlm.nih.gov,https://en.newsner.com/,https://www.cdc.gov/,Cannot locate,NY Daily News,https://www.wakehealth.edu/,thefartsfact.com,https://www.reuters.com/,https://www.simplemost.com,http://www.apa.org/,,,https://www.frontiersin.org/,cdc.gov,https://www.amazon.com/Food-Facts-Myths-Healthy-Diets/dp/1542404436,https://info.cmsri.org/,https://www.hcfcd.org,http://www.independent.co.uk/,Could not locate,https://www.alz.org/,,18.164,could not locate,2.371,could not locate,could not locate,19.309,could not locate,,,,could not locate,could not locate,Could not locate,could not locate,could not locate,could not locate,,could not locate,Could not locate,could not locate
