Title,Link,Date,Outlet,Country,Summary,Disproof,Article Title,Article Source,Article Media,Reported In,Publication Date,Audience,Article Country,Keywords
"Blaming China for COVID-19 is a ploy, like blaming Russia for MH17",https://euvsdisinfo.eu/report/blaming-china-for-covid-19-is-a-ploy-like-blaming-russia-for-mh17/,01.04.2020,Journal of New Eastern Outlook,"EU, Russia, Ukraine, US, The Netherlands, Syria","The assumption that China created COVID 19 is based on an important research paper written in 2015 that tied a research facility in Wuhan to a study on a bat virus that created something capable of infecting the world, a disease exactly like COVID 19.
This is the origin of the “blame China” ploy, just like the blame Russia for fake gas attacks in Syria or when the Kiev regime shot down MH17.
All that was needed was a fake court, fake evidence and controlled media.","Conspiracy theory with no evidence given; a straw man argument, attacking an imaginary position of the opponent. No serious sources suggest China ""created"" the SARS-CoV-2 virus, which has caused the COVID-19 outbreak.
A recent analysis of the genome sequence of SARS-CoV-2 virus found no evidence that it was developed artificially in a lab or otherwise engineered. The virus comes from a family of viruses originating in animals that includes others such as SARS and MERS. It was first reported in the Chinese city of Wuhan in central China in late 2019 and has been rapidly spreading across the world.
The claim that ""Russia is blamed for fake gas attacks"" ostensibly refers to the war in Syria and is another example of the straw man argument. Russia has never been accused of using chemical weapons during its military involvement in Syria; however, Russia has supported the Assad regime, which has used toxic gas against opposition strongholds.
The international investigation into the downing of flight MH17, which killed all 298 people onboard, has concluded that the perpetrators who fired the Russian-made BUK TELAR missile that shot down the plane were connected to Russian armed forces units. The ongoing trial in Amsterdam will evaluate the evidence produced by the investigation. Pro-Kremlin media have been aggressively attempting to question the legitimacy of the investigation and the Dutch judiciary. Examples of cases on MH17 can be found here.
This case is another example of how the pro-Kremlin disinformation machine exploits crisis situations like the current COVID-19 pandemic to spread disinformation about other topics and opportunistically adapts existing pro-Kremlin narratives to new contexts.","Disinfo: Blaming China for COVID-19 is a ploy, like blaming Russia for MH17",https://journal-neo.org/2020/03/31/covid-and-the-terror-of-uncertainty/,Journal of New Eastern Outlook,Issue190,01/04/2020,English,"EU, Russia, Ukraine, US, The Netherlands, Syria","coronavirus, Conspiracy theory, Chemical weapons/attack, Syrian War, Russophobia, Bashar al-Assad, MH17"
USAID is a CIA-affiliated terror group that created the coronavirus,https://euvsdisinfo.eu/report/usaid-is-a-cia-affiliated-terror-group-that-created-the-coronavirus/,01.04.2020,Journal of New Eastern Outlook,"China, US","With the accusation against China, all that is needed is for China to be tied, in this case for supplying a virus, to a dangerous terror group, to a global pandemic.
The terror group, as we discovered was the USAID, a CIA affiliate that used the Wuhan virus to create something frightening at the University of North Carolina, not in Wuhan.","This is a conspiracy theory, presented with no evidence to support the claim that the coronavirus was created in the USA. This is part of the Kremlin's ongoing coronavirus disinformation campaign and is based on recurring pro-Kremlin disinformation narratives about biological weapons.
The World Health Organisation has concluded that the virus first appeared in the Chinese province of Hubei. The novel coronavirus ""2019-nCoV” comes from a family of viruses originating in animals that includes others such as SARS and MERS. There is no evidence to suggest it was developed artificially in a laboratory as a weapon of mass destruction. A group of public health scientists have condemned rumours and conspiracy theories about the origin of coronavirus outbreak: ""We stand together to strongly condemn conspiracy theories suggesting that COVID-19 does not have a natural origin."" The authors of The Lancet statement note that scientists from several countries who have studied 2019-nCoV “overwhelmingly conclude that this coronavirus originated in wildlife, just like many other viruses that have recently emerged in humans.""
There are numerous similar disinformation cases claiming that the coronavirus was created in a laboratory, that the coronavirus an Anglo-Saxon biological warning originating in US labs, that it is a US provocation against China, a tool to weaken the Chinese economy, and an attempt by the Anglo-Saxons to control China.",Disinfo: USAID is a CIA-affiliated terror group that created the coronavirus,https://journal-neo.org/2020/03/31/covid-and-the-terror-of-uncertainty/,Journal of New Eastern Outlook,Issue190,01/04/2020,English,"China, US","coronavirus, Conspiracy theory, Biological weapons"
Authoritarian trends in the COVID-19 lockdown are a harbinger of the future,https://euvsdisinfo.eu/report/authoritarian-trends-in-the-covid-19-lockdown-are-a-harbinger-of-the-future/,01.04.2020,RT English,UK,"What will 6 months of Covid-19 do to our society? Only certain thing is we’ll be in a state… and the STATE will be IN CONTROL.
What Covid-19 has already accomplished is the final nail in the coffin of the phoney post-war ideological battle between free-marketeers and state ‘socialists’.
There has been no argument. There has been no political debate. But the state has won, and everything else will follow. If we thought yesterday’s tendency towards technocracy was strong, we haven’t seen anything yet. The authoritarian trends already on display in the current lockdown are perhaps a harbinger of a future society run along managerial principles.","Conspiracy theory with no evidence given; this is part of the pro-Kremlin disinformation campaign around the coronavirus, implying that the COVID-19 pandemic represents the end of democracy and open societies and will lead to authoritarian takeover. See similar cases that the COVID-19 outbreak is a pretext to gain control of the world population and introduce tyranny, and that COVID-19 is a political move to install hegemony.
This case also plays into the idea of ""imminent collapse"", one of the master narratives used in pro-Kremlin disinformation. It is used to spread demoralisation and self-doubt among target audiences, as well as to sow discord, panic, and diminish trust in national authorities, the EU and international institutions.
The national lockdown measures to encourage social distancing are a temporary restriction, based on recommendations by the World Health Organisation and other health authorities, to limit the spread of the virus in a short period of time, which could overwhelm healthcare systems and result in more deaths.",Disinfo: Authoritarian trends in the COVID-19 lockdown are a harbinger of the future,https://www.rt.com/op-ed/484652-covid-future-state-control/,RT English,Issue190,01/04/2020,English,UK,"coronavirus, Conspiracy theory"
The Italian Parliament lowers the flag of the European Union,https://euvsdisinfo.eu/report/the-italian-parliament-lowers-the-flag-of-the-european-union/,01.04.2020,fondsk.ru,"EU, Italy",The Italian Parliament lowers the flag of the European Union.,"A misleading headline to support a recurring narrative about EU disintegration amid the coronavirus crisis. From the text of the article it is clear that one Italian MP has allegedly removed the EU flag from his office.
For similar cases, see for example claims that amid the pandemic, the idea of a united Europe has crashed, that after the COVID-19 crisis Italy or Germany may leave the EU, and that the coronavirus will cause the dissolution of the EU and NATO.",Disinfo: The Italian Parliament lowers the flag of the European Union,https://www.fondsk.ru/news/2020/03/31/v-italjanskom-parlamente-spuskajut-flag-evropejskogo-souza-50502.html,fondsk.ru,Issue190,01/04/2020,Russian,"EU, Italy","coronavirus, EU disintegration"
Environmentalists are overjoyed by the fear around COVID-19; they see it as an opportunity,https://euvsdisinfo.eu/report/environmentalists-are-overjoyed-by-the-fear-around-covid-19-they-see-it-as-an-opportunity/,01.04.2020,RT English,"EU, UK, US","Many hardline environmentalists are overjoyed at the atmosphere of fear that Covid-19 has created; for them, it is an instrument for realising the dream of a society that runs according to climate alarmists’ dogma.
Back in the 17th century, the English philosopher Thomas Hobbes anticipated the green politics of fear in his classic text, The Leviathan. Hobbes claimed that it is good when people are scared and frightened. Why? Because in their state of fear people will readily subject themselves to an absolutist ruler in exchange for his protection. One does not need a PhD in philosophy to understand that climate alarmist politics leads straight to the doorstep of the Leviathan.","Recurring pro-Kremlin conspiracy theory about the allegedly malicious intentions behind environmental activism, exploiting the coronavirus crisis in a bid delegitimise climate activism as hysteria and an effort to impose ""absolutist rule"" over society. Pro-Kremlin disinformation often engages in climate change denialism, suggesting for example that climate change is a Western hoax to prevent Russia's economic development and that climate activists want to destroy progress in the name of green faith.
This case is another example of how pro-Kremlin disinformation outlets exploit crisis situations like the current COVID-19 pandemic to spread disinformation about other topics and opportunistically adapt existing pro-Kremlin narratives to new contexts.
Climate change is a scientific fact. Humans are increasingly influencing the climate and the earth's temperature by burning fossil fuels, cutting down rain-forests and farming livestock. This adds enormous amounts of greenhouse gases to those naturally occurring in the atmosphere, increasing the greenhouse effect and global warming. Preventing the dangerous consequences of climate change is a key priority for the EU.",Disinfo: Environmentalists are overjoyed by the fear around COVID-19; they see it as an opportunity,https://www.rt.com/op-ed/484627-covid-climate-alarmists-fear/,RT English,Issue190,01/04/2020,English,"EU, UK, US","coronavirus, Conspiracy theory, Climate, Conspiracy"
COVID-19: A large-scale sociological experiment to see how much repression the people will accept,https://euvsdisinfo.eu/report/covid-19-a-large-scale-sociological-experiment-to-see-how-much-repression-the-people-will-accept/,31.03.2020,southfront.org,"EU, US","The severe measures, justified or not, are a sort of large-scale “sociological experiment” which aims to see how much repression would people be willing to accept, for a vague justification, and how politicized could the entire situation be. It could potentially also show how far people can be pushed before there’s riots on the streets, and the lack of “entertainment” leads to people finding ways to “entertain” themselves. As it has been proven time and again, mob mentality dictates that “entertainment” usually means decapitating the elite.","An unfounded conspiracy theory, sharing a recurrent pro-Kremlin narrative about ""secret elites"" controlling world leaders.
COVID-19 comes from a family of viruses originating in animals that include other viruses such as SARS and MERS. It was first reported in the Chinese city of Wuhan in central China and has been rapidly spreading across the world, with cases being reported in 190 countries, territories and areas. The number of COVID-19 cases is closing up on 700,000 globally with over 33,000 deaths by 30 March 2020.
See more examples of  pro-Kremlin disinformation about the coronavirus here.",Disinfo: COVID-19: A large-scale sociological experiment to see how much repression the people will accept,https://southfront.org/coronavirus-hype-how-far-can-governments-push-people-before-it-backfires/,southfront.org,Issue190,31/03/2020,English,"EU, US","coronavirus, Conspiracy theory"
It is too early to tell whether any extra people will die because of COVID-19,https://euvsdisinfo.eu/report/it-is-too-early-to-tell-whether-any-extra-people-will-die-because-of-covid-19/,31.03.2020,RT English,"UK, US","It is definitely too early to accurately gauge how many – if any – extra people will die because of coronavirus.
It is hard to believe that when this all blows over, the damage that will have been done by the shutdown measures – to businesses, to civil liberties, to individual lives and, of course, to the global economy – could have been for nothing. Nonetheless, it seems entirely possible based on the present data.","This is a recurring pro-Kremlin disinformation attempt to downplay the severity and urgency of the COVID-19 outbreak, which has been classified as a pandemic by the World Health Organisation. Pro-Kremlin media have spread a variety of false claims to push this message, for example that coronavirus mortality figures are insignificant, that COVID-19 is fake and a political move to install hegemony, and that the virus is safe.
The novel coronavirus, which causes the COVID-19 disease, belongs to a family of viruses originating in animals that includes others such as SARS and MERS. It was first reported in the city of Wuhan in central China in late 2019 and has been rapidly spreading across the world, with cases being reported in 190 countries, territories and areas. The number of COVID-19 cases has surpassed 777,000 globally with over 37,000 deaths as of 31 March 2020.
There are major challenges associated with accurately calculating the COVID-19 death rate, including insufficient data about the denominator (i.e., the number of people who are infected with the virus). Currently, the research consensus indicates that COVID-19 is less deadly than SARS (9.5% mortality) but more deadly than influenza (0.1% mortality). However, the death rate aside, the major concern with the COVID-19 pandemic is its potential to overwhelm national healthcare systems, resulting in even more deaths because patients cannot receive treatment as hospitals exceed capacity. Thus, flattening the curve and limiting the spread of the virus - which is highly transmittable - is recommended as an essential precautionary measure by international health authorities, including the WHO.",Disinfo: It is too early to tell whether any extra people will die because of COVID-19,https://www.rt.com/op-ed/484548-coronavirus--people-die-outcome/,RT English,Issue190,31/03/2020,English,"UK, US",coronavirus
"The EU has collapsed, countries are building borders",https://euvsdisinfo.eu/report/eu-has-collapsed-countries-are-building-borders/,30.03.2020,NEWSONE,EU,"The European Union has collapsed. The countries are beginning to build borders: between Poland and Germany, between Germany and France, between the Czech Republic and Austria. [There are] borders, borders, borders…","This claim exploits the coronavirus pandemic to push a recurring pro-Kremlin disinformation narrative about the EU's alleged imminent collapse. It also aims to pit EU member states against each other in an attempt to undermine European solidarity - another recurring pro-Kremlin disinformation tactic. There is no evidence to support the doomsday claim that the pandemic is resulting in the death or obsolescence of the EU.
EU Member States are helping each other in this crisis; for example, German hospitals offering to treat critical coronavirus patients from France as well as taking in patients from Italy and the Czech Republic sending masks to Italy.
Read more about the EU's response here and here.","Disinfo: The EU has collapsed, countries are building borders",https://youtube.com/watch?v=kcpNMb0WMQI&t=613,NEWSONE [from 10:13 to 10:30],Issue190,30/03/2020,Russian,EU,"coronavirus, Euro-scepticism, EU, European Union, Europe"
"EU's health and safety policies failed, EU feels the threat of losing its power",https://euvsdisinfo.eu/report/european-identity-and-solidarity-are-in-crisis/,30.03.2020,riafan.ru,EU,"[…] The coronavirus epidemic marks the beginning of an era of crisis for pan-European identity and solidarity. National borders between the EU countries, closed by [state] governments, have become a clear illustration of [the EU’s] inefficiency and its failed health and safety policies. Therefore, all the bureaucratic structures of the EU, as well as political forces oriented towards the globalist agenda, feel a clear threat of losing their power.","This claim exploits the coronavirus pandemic to push a recurring pro-Kremlin disinformation narrative about the EU's alleged imminent collapse. It also aims to pit EU member states against each other in an attempt to undermine European solidarity - another recurring pro-Kremlin disinformation tactic. There is no evidence to support the doomsday claim that the pandemic is resulting in the death or obsolescence of the EU.
To cushion the blow to people’s livelihoods and the economy, the European Commission has adopted a comprehensive economic response to the outbreak, applied the full flexibility of the EU fiscal rules, has revised its State Aid rules and proposed to set up a €37 billion Coronavirus Response Investment Initiative to provide liquidity to small businesses and the health care sector.
To provide all EU Member States with essential medical equipment, the EU has created the European stockpile of ventilators, masks and lab supplies. This medical and protective equipment is available to any EU country. The Commission will finance 90% of this stockpile through the EU Civil Protection Mechanism (RescEU).
EU Member States are also helping each other in this crisis, for example German hospitals offering to treat critical coronavirus patients from France as well as taking in patients from Italy and the Czech Republic sending masks to Italy.
Read more about the EU's response here and here.","Disinfo: EU’s health and safety policies failed, EU feels the threat of losing its power",https://riafan.ru/1263331-v-sovfede-otreagirovali-na-obvineniya-rf-v-dezinformacii-na-fone-pandemii,riafan.ru,Issue190,30/03/2020,Russian,EU,"Conspiracy theory, EU, EU disintegration"
coronavirus mortality figures are insignificant,https://euvsdisinfo.eu/report/coronavirus-mortality-figures-are-insignificant/,30.03.2020,Sputnik Czech,"China, Czech Republic","Without wanting to downplay COVID-19, in terms of the global population, the mortality figures are insignificant. The data from China corresponds to natural processes, we should not think that man is immortal.","This is a recurring pro-Kremlin disinformation attempt to downplay the severity and urgency of the COVID-19 outbreak, which has been classified as a pandemic by the World Health Organisation. Pro-Kremlin media have spread a variety of false claims to push this message, for example that COVID-19 is fake and a political move to install hegemony, that the outbreak is only an attempt to distract the world from real issues, that the virus is safe, and that the reason behind coronavirus scaremongering is a Western effort to weaken China.
The novel coronavirus, which causes the COVID-19 disease, belongs to a family of viruses originating in animals that include others such as SARS and MERS. It was first reported in the city of Wuhan in central China in late 2019 and has been rapidly spreading across the world, with cases being reported in 190 countries, territories and areas. The number of COVID-19 cases has surpassed 777,000 globally with over 37,000 deaths as of 31 March 2020.
There are major challenges associated with accurately calculating the COVID-19 death rate, including insufficient data about the denominator (i.e., the number of people who are infected with the virus). Currently, the research consensus indicates that COVID-19 is less deadly than SARS (9.5% mortality) but more deadly than influenza (0.1% mortality). However, the death rate aside, the major concern with the COVID-19 pandemic is its potential to overwhelm national healthcare systems, resulting in even more deaths because patients cannot receive treatment as hospitals exceed capacity. Thus, flattening the curve and limiting the spread of the virus - which is highly transmittable - is recommended as an essential precautionary measure by international health authorities, including the WHO.",Disinfo: Coronavirus mortality figures are insignificant,https://cz.sputniknews.com/nazory/2020033011735782-rocne-umira-v-cr-cca-100-000-lidi-na-koronavirus-v-breznu-dve-desitky-osob-mame-se-bat/,Sputnik Czech,Issue190,30/03/2020,Czech,"China, Czech Republic",coronavirus
