,Originality Score,Fact-Checked,Attribution Rank,Source 1 Category,Source 2 Category,Source 3 Category,Article has Spammy/Clickbaity Ads,Article has Aggressive Ads/Calls
Article 0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Article 1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Article 2,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Article 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Article 4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Article 5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Article 6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
Article 7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Article 8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Article 9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Article 10,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Article 11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Article 12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Article 13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Article 14,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Article 15,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Article 16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Article 17,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Article 18,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Article 19,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Article 20,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Article 21,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Article 22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Article 23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Article 24,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Article 25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Article 26,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Article 27,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Article 28,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Article 29,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Article 30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Article 31,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Article 32,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Article 33,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
Article 34,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Article 35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Article 36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Article 37,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Article 38,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Article 39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Article 40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Article 41,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Article 42,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Article 43,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Article 44,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Article 45,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Article 46,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Article 47,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Article 48,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Article 49,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Average,0.58,0.44,0.5,0.6,0.28,0.18,0.12,0.24
