,Originality Score,Fact-Checked,Attribution Rank,Source 1 Category,Source 2 Category,Source 3 Category,Article has Spammy/Clickbaity Ads,Article has Aggressive Ads/Calls
Article 40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Article 41,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Article 42,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Article 43,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Article 44,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Article 45,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Article 46,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Article 47,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Article 48,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Article 49,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Average,0.58,0.44,0.5,0.6,0.28,0.18,0.12,0.24
